SQ;Singapore Airlines;;2;SIN;Singapur;SINGAPORE;SFO;USA;SAN FRANCISCO; 18:25;12.08.2011;2.320,04;A380-800;AIRBUS S.A.S.;470;475;1;07.05.2011;2672;Mr.;Lee Legrand;9765;Boulder;278 17th St.;USA
SQ;Singapore Airlines;;2;SIN;Singapur;SINGAPORE;SFO;USA;SAN FRANCISCO; 18:25;12.08.2011;2.320,04;A380-800;AIRBUS S.A.S.;470;475;2;08.04.2011;886;Herr;Jean-Luc Schneider;75839;Paris;56 Rue Balzac;Frankreich
SQ;Singapore Airlines;;2;SIN;Singapur;SINGAPORE;SFO;USA;SAN FRANCISCO; 18:25;12.08.2011;2.320,04;A380-800;AIRBUS S.A.S.;470;475;3;19.07.2011;3292;Frau;Christa Legrand;64342;Seeheim-Jugenheim;Ausserhalb 195;Deutschland
SQ;Singapore Airlines;;2;SIN;Singapur;SINGAPORE;SFO;USA;SAN FRANCISCO; 18:25;12.08.2011;2.320,04;A380-800;AIRBUS S.A.S.;470;475;4;18.04.2011;4497;Herr;Dominik Sudhoff;75305;Neuenburg;Albert-Schweitzer-Str. 218;Deutschland
SQ;Singapore Airlines;;2;SIN;Singapur;SINGAPORE;SFO;USA;SAN FRANCISCO; 18:25;12.08.2011;2.320,04;A380-800;AIRBUS S.A.S.;470;475;5;09.07.2011;4091;Frau;Anna Buchholz;86343;Koenigsbrunn;Lerchenstr. 238;Deutschland
SQ;Singapore Airlines;;2;SIN;Singapur;SINGAPORE;SFO;USA;SAN FRANCISCO; 18:25;12.08.2011;2.320,04;A380-800;AIRBUS S.A.S.;470;475;6;16.05.2011;3909;Herr;Andrej Lautenbach;1000;Ljubljana;95 Poklukarjeva;Slowenien
SQ;Singapore Airlines;;2;SIN;Singapur;SINGAPORE;SFO;USA;SAN FRANCISCO; 18:25;12.08.2011;2.320,04;A380-800;AIRBUS S.A.S.;470;475;7;12.05.2011;2781;Mr;Christoph Lindwurm;17844;Washington;250 Federal Avenue;USA
SQ;Singapore Airlines;;2;SIN;Singapur;SINGAPORE;SFO;USA;SAN FRANCISCO; 18:25;12.08.2011;2.320,04;A380-800;AIRBUS S.A.S.;470;475;8;07.07.2011;3528;Herr;Lothar Sudhoff;69180;Walldorf;Hauptstr. 23;Deutschland
SQ;Singapore Airlines;;2;SIN;Singapur;SINGAPORE;SFO;USA;SAN FRANCISCO; 18:25;12.08.2011;2.320,04;A380-800;AIRBUS S.A.S.;470;475;9;12.05.2011;2668;Frau;Amelie Lindwurm;68753;Amelie;Froschstr. 22;Deutschland
SQ;Singapore Airlines;;2;SIN;Singapur;SINGAPORE;SFO;USA;SAN FRANCISCO; 18:25;12.08.2011;2.320,04;A380-800;AIRBUS S.A.S.;470;475;10;27.03.2011;3383;Herr;Andrej Martin;1000;Ljubljana;275 Poklukarjeva;Slowenien
